[order_id]
1
[pallet_quantity]
3
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
0	1200	800	1500	25000	1163250
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1440000000	1393307452	1.81022	11.9497
[item_quantity]
159
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	368	124	126	0	76	500	0	0
368	0	0	532	264	164	1	18	4320	0	0
532	0	0	696	264	164	2	18	4320	0	0
696	0	0	860	264	164	3	18	4320	0	0
860	0	0	1024	264	164	4	18	4320	0	0
1024	0	0	1188	264	164	5	18	4320	0	0
0	124	0	368	248	126	6	76	500	0	0
0	248	0	368	372	126	7	76	500	0	0
368	264	0	532	528	164	8	18	4320	0	0
532	264	0	696	528	164	9	18	4320	0	0
696	264	0	860	528	164	10	18	4320	0	0
860	264	0	1024	528	164	11	18	4320	0	0
1024	264	0	1188	528	164	12	18	4320	0	0
0	372	0	368	496	126	13	76	500	0	0
0	496	0	368	620	126	14	76	500	0	0
368	528	0	532	792	164	15	18	4320	0	0
532	528	0	696	792	164	16	18	4320	0	0
696	528	0	860	792	164	17	18	4320	0	0
860	528	0	1024	792	164	18	18	4320	0	0
1024	528	0	1188	792	164	19	18	4320	0	0
0	620	0	368	744	126	20	76	500	0	0
164	0	126	328	264	290	21	18	4320	0	0
0	0	126	164	264	290	22	18	4320	0	0
164	264	126	328	528	290	23	18	4320	0	0
0	264	126	164	528	290	24	18	4320	0	0
164	528	126	328	792	290	25	18	4320	0	0
0	528	126	164	792	290	26	18	4320	0	0
328	0	164	666	195	554	27	19	14940	0	0
666	0	164	1004	195	554	28	19	14940	0	0
328	195	164	666	390	554	29	19	14940	0	0
666	195	164	1004	390	554	30	19	14940	0	0
1004	0	164	1184	198	350	31	11	1700	0	0
328	390	164	666	585	554	32	19	14940	0	0
666	390	164	1004	585	554	33	19	14940	0	0
1004	240	164	1194	520	329	34	25	3060	0	0
328	585	164	666	780	554	35	19	14940	0	0
666	585	164	1004	780	554	36	19	14940	0	0
1004	520	164	1194	800	329	37	25	3060	0	0
164	0	290	328	264	454	38	18	4320	0	0
0	0	290	164	264	454	39	18	4320	0	0
164	264	290	328	528	454	40	18	4320	0	0
0	264	290	164	528	454	41	18	4320	0	0
164	528	290	328	792	454	42	18	4320	0	0
0	528	290	164	792	454	43	18	4320	0	0
1004	0	350	1194	280	515	44	26	3060	0	0
1004	280	329	1189	460	459	45	98	940	0	0
164	0	454	328	264	618	46	18	4320	0	0
0	0	454	164	264	618	47	18	4320	0	0
164	264	454	328	528	618	48	18	4320	0	0
0	264	454	164	528	618	49	18	4320	0	0
164	528	454	328	792	618	50	18	4320	0	0
