[order_id]
1
[pallet_quantity]
3
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
0	1200	800	1500	25000	1163250
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1440000000	1393307452	1.81022	11.9497
[item_quantity]
159
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	528	454	164	792	618	51	18	4320	0	0
328	0	554	492	264	718	52	18	4320	0	0
492	0	554	656	264	718	53	18	4320	0	0
656	0	554	820	264	718	54	18	4320	0	0
820	0	554	984	264	718	55	18	4320	0	0
328	264	554	492	528	718	56	18	4320	0	0
492	264	554	656	528	718	57	18	4320	0	0
656	264	554	820	528	718	58	18	4320	0	0
820	264	554	984	528	718	59	18	4320	0	0
1004	0	515	1194	280	680	60	26	3060	0	0
1004	280	459	1123	457	587	61	68	2140	0	0
328	528	554	492	792	718	62	18	4320	0	0
492	528	554	656	792	718	63	18	4320	0	0
656	528	554	820	792	718	64	18	4320	0	0
0	799	0	800	800	600	65	97	379200	0	0
820	528	554	984	792	718	66	18	4320	0	0
164	0	618	328	264	782	67	18	4320	0	0
0	0	618	164	264	782	68	18	4320	0	0
164	264	618	328	528	782	69	18	4320	0	0
0	264	618	164	528	782	70	18	4320	0	0
164	528	618	328	792	782	71	18	4320	0	0
0	528	618	164	792	782	72	18	4320	0	0
328	0	718	492	264	882	73	18	4320	0	0
492	0	718	656	264	882	74	18	4320	0	0
656	0	718	820	264	882	75	18	4320	0	0
820	0	718	984	264	882	76	18	4320	0	0
328	264	718	492	528	882	77	18	4320	0	0
492	264	718	656	528	882	78	18	4320	0	0
656	264	718	820	528	882	79	18	4320	0	0
820	264	718	984	528	882	80	18	4320	0	0
994	0	680	1198	286	906	81	9	7400	0	0
984	286	587	1180	458	699	82	27	2100	0	0
984	286	699	1180	458	811	83	27	2100	0	0
328	528	718	492	792	882	84	18	4320	0	0
492	528	718	656	792	882	85	18	4320	0	0
656	528	718	820	792	882	86	18	4320	0	0
820	528	718	984	792	882	87	18	4320	0	0
1004	462	329	1199	800	719	88	19	14940	0	0
830	0	882	994	264	1046	89	18	4320	0	0
666	0	882	830	264	1046	90	18	4320	0	0
502	0	882	666	264	1046	91	18	4320	0	0
338	0	882	502	264	1046	92	18	4320	0	0
164	0	782	328	264	946	93	18	4320	0	0
0	0	782	164	264	946	94	18	4320	0	0
830	272	882	994	536	1046	95	18	4320	0	0
666	272	882	830	536	1046	96	18	4320	0	0
502	272	882	666	536	1046	97	18	4320	0	0
338	272	882	502	536	1046	98	18	4320	0	0
164	264	782	328	528	946	99	18	4320	0	0
0	264	782	164	528	946	100	18	4320	0	0
164	528	782	328	792	946	101	18	4320	0	0
0	528	782	164	792	946	102	18	4320	0	0
338	536	882	502	800	1046	103	18	4320	0	0
502	536	882	666	800	1046	104	18	4320	0	0
666	536	882	830	800	1046	105	18	4320	0	0
830	536	882	994	800	1046	106	18	4320	0	0
994	0	906	1194	250	1101	107	75	1200	0	0
994	286	811	1194	461	956	108	80	2300	0	0
830	0	1046	994	264	1210	109	18	4320	0	0
666	0	1046	830	264	1210	110	18	4320	0	0
502	0	1046	666	264	1210	111	18	4320	0	0
338	0	1046	502	264	1210	112	18	4320	0	0
0	0	946	338	195	1336	113	19	14940	0	0
0	195	946	338	390	1336	114	19	14940	0	0
0	390	946	338	585	1336	115	19	14940	0	0
0	585	946	338	780	1336	116	19	14940	0	0
338	272	1046	502	536	1210	117	18	4320	0	0
502	272	1046	666	536	1210	118	18	4320	0	0
666	272	1046	830	536	1210	119	18	4320	0	0
830	272	1046	994	536	1210	120	18	4320	0	0
338	536	1046	502	800	1210	121	18	4320	0	0
502	536	1046	666	800	1210	122	18	4320	0	0
666	536	1046	830	800	1210	123	18	4320	0	0
830	536	1046	994	800	1210	124	18	4320	0	0
338	0	1210	502	264	1374	125	18	4320	0	0
502	0	1210	666	264	1374	126	18	4320	0	0
666	0	1210	830	264	1374	127	18	4320	0	0
830	0	1210	994	264	1374	128	18	4320	0	0
338	272	1210	502	536	1374	129	18	4320	0	0
502	272	1210	666	536	1374	130	18	4320	0	0
666	272	1210	830	536	1374	131	18	4320	0	0
830	272	1210	994	536	1374	132	18	4320	0	0
994	0	1101	1194	280	1341	133	84	2640	0	0
994	280	956	1194	454	1108	134	79	2260	0	0
994	280	1108	1194	460	1296	135	12	1680	0	0
1004	462	719	1199	800	1109	136	19	14940	0	0
338	536	1210	502	800	1374	137	18	4320	0	0
502	536	1210	666	800	1374	138	18	4320	0	0
666	536	1210	830	800	1374	139	18	4320	0	0
830	536	1210	994	800	1374	140	18	4320	0	0
0	0	1336	320	270	1496	141	29	9210	0	0
164	272	1336	328	536	1500	142	18	4320	0	0
0	272	1336	164	536	1500	143	18	4320	0	0
164	536	1336	328	800	1500	144	18	4320	0	0
0	536	1336	164	800	1500	145	18	4320	0	0
320	0	1374	688	124	1500	146	77	500	0	0
320	124	1374	688	248	1500	147	77	500	0	0
688	0	1374	976	208	1500	148	38	6380	0	0
328	248	1374	696	372	1500	149	76	500	0	0
328	392	1374	614	596	1500	150	42	6360	0	0
696	208	1374	982	412	1500	151	34	6440	0	0
994	0	1341	1154	370	1491	152	31	6120	0	0
328	596	1374	614	800	1500	153	42	6360	0	0
614	432	1374	738	800	1500	154	77	500	0	0
738	432	1374	862	800	1500	155	77	500	0	0
862	432	1374	986	800	1500	156	77	500	0	0
994	392	1296	1174	462	1468	157	95	3500	0	0
1004	462	1109	1199	800	1499	158	19	14940	0	0
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
1	1200	800	1500	25000	569032
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1440000000	1338837967	1.12791	31
[item_quantity]
100
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	176	378	248	0	62	12120	0	0
176	0	0	340	264	164	1	18	4320	0	0
340	0	0	678	195	390	2	19	14940	0	0
340	195	0	678	390	390	3	19	14940	0	0
678	0	0	964	596	396	4	2	5560	0	0
964	0	0	1194	355	235	5	23	13120	0	0
340	390	0	678	585	390	6	19	14940	0	0
176	264	0	340	528	164	7	18	4320	0	0
340	585	0	678	780	390	8	19	14940	0	0
176	528	0	340	792	164	9	18	4320	0	0
176	0	164	340	264	328	10	18	4320	0	0
176	264	164	340	528	328	11	18	4320	0	0
176	528	164	340	792	328	12	18	4320	0	0
0	378	0	176	756	248	13	62	12120	0	0
964	386	0	1190	544	188	14	82	1780	0	0
964	0	235	1194	355	470	15	23	13120	0	0
964	386	188	1190	544	376	16	83	1780	0	0
678	605	0	1016	800	390	17	19	14940	0	0
1016	544	0	1200	800	202	18	94	3160	0	0
1016	544	202	1200	800	404	19	94	3160	0	0
622	0	396	908	596	792	20	3	5560	0	0
340	0	390	622	598	784	21	0	3760	0	0
176	0	328	340	264	492	22	18	4320	0	0
176	264	328	340	528	492	23	18	4320	0	0
176	0	492	340	264	656	24	18	4320	0	0
176	264	492	340	528	656	25	18	4320	0	0
0	0	248	176	378	496	26	63	12120	0	0
642	598	390	944	800	548	27	56	8700	0	0
340	598	390	642	800	548	28	56	8700	0	0
176	528	328	340	792	492	29	18	4320	0	0
176	528	492	340	792	656	30	18	4320	0	0
0	378	248	176	756	496	31	63	12120	0	0
908	0	470	1183	400	770	32	60	4702	0	0
340	598	548	642	800	706	33	55	8700	0	0
642	598	548	944	800	706	34	55	8700	0	0
944	445	404	1171	800	641	35	24	13120	0	0
340	0	784	620	598	1180	36	1	3340	0	0
176	0	656	340	264	820	37	18	4320	0	0
0	0	496	164	264	660	38	18	4320	0	0
176	264	656	340	528	820	39	18	4320	0	0
0	264	496	164	528	660	40	18	4320	0	0
176	528	656	340	792	820	41	18	4320	0	0
0	528	496	164	792	660	42	18	4320	0	0
0	0	660	155	456	815	43	45	980	0	0
620	0	792	886	414	1050	44	15	2940	0	0
664	0	1050	894	520	1330	45	88	10600	0	0
908	0	770	1174	398	1058	46	5	1720	0	0
620	429	792	924	584	962	47	65	880	0	0
340	598	706	642	800	864	48	57	8700	0	0
642	598	706	944	800	864	49	57	8700	0	0
944	445	641	1171	800	878	50	24	13120	0	0
176	0	820	340	264	984	51	18	4320	0	0
176	264	820	340	528	984	52	18	4320	0	0
0	0	815	155	456	970	53	45	980	0	0
620	616	864	876	800	1066	54	93	3160	0	0
340	600	864	620	800	1104	55	85	2640	0	0
176	528	820	340	792	984	56	18	4320	0	0
0	496	660	155	800	830	57	65	880	0	0
620	451	962	885	616	1047	58	58	3100	0	0
176	0	984	340	264	1148	59	18	4320	0	0
0	0	970	164	264	1134	60	18	4320	0	0
176	264	984	340	528	1148	61	18	4320	0	0
0	264	970	156	486	1126	62	7	2260	0	0
176	528	984	340	792	1148	63	18	4320	0	0
0	496	830	155	800	1000	64	65	880	0	0
894	0	1058	1102	390	1348	65	73	2980	0	0
1102	0	1058	1187	310	1325	66	69	6520	0	0
340	674	1104	670	800	1316	67	78	5480	0	0
670	552	1066	894	800	1234	68	61	6440	0	0
924	400	878	1180	584	1080	69	93	3160	0	0
714	550	1234	876	800	1340	70	91	1700	0	0
894	408	1080	1199	568	1305	71	81	5750	0	0
894	584	878	1194	800	1146	72	59	5120	0	0
664	0	1330	818	414	1500	73	86	1040	0	0
340	0	1180	664	222	1334	74	53	7140	0	0
340	222	1180	664	444	1334	75	53	7140	0	0
176	0	1148	340	264	1312	76	18	4320	0	0
0	0	1134	164	264	1298	77	18	4320	0	0
340	444	1180	664	666	1334	78	53	7140	0	0
176	264	1148	340	528	1312	79	18	4320	0	0
0	264	1126	156	486	1282	80	8	2260	0	0
176	528	1148	340	792	1312	81	18	4320	0	0
0	496	1000	155	800	1170	82	65	880	0	0
894	568	1146	1144	800	1308	83	33	6460	0	0
340	0	1334	660	270	1494	84	28	9210	0	0
176	0	1312	340	264	1476	85	18	4320	0	0
590	432	1334	714	800	1460	86	77	500	0	0
340	270	1334	588	488	1498	87	36	6460	0	0
340	490	1334	590	800	1494	88	21	8000	0	0
176	264	1312	340	528	1476	89	18	4320	0	0
86	0	1298	176	375	1493	90	72	5400	0	0
0	0	1298	86	394	1498	91	35	7300	0	0
176	528	1312	340	792	1476	92	18	4320	0	0
0	496	1170	155	800	1340	93	65	880	0	0
0	430	1340	160	800	1490	94	31	6120	0	0
818	0	1348	1193	150	1498	95	30	6170	0	0
818	150	1348	1193	300	1498	96	30	6170	0	0
818	300	1348	1186	424	1474	97	76	500	0	0
714	446	1340	880	800	1482	98	99	640	0	0
894	450	1308	1184	800	1498	99	71	12550	0	0
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
2	1200	800	750	25000	211988
[total_volume 	 total_occupied_volume 	 m1 	 m2]
720000000	558908288	1.1	30.9524
[item_quantity]
42
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	220	584	390	0	4	3740	0	0
220	0	0	440	574	364	1	50	4180	0	0
440	0	0	664	248	164	2	54	6440	0	0
440	0	164	595	304	334	3	65	880	0	0
664	0	0	968	260	174	4	51	7180	0	0
440	282	0	686	582	162	5	89	7620	0	0
440	358	162	688	582	330	6	61	6440	0	0
688	260	118	938	380	293	7	10	4300	0	0
968	0	0	1170	290	124	8	92	6400	0	0
686	296	0	894	582	118	9	41	7760	0	0
894	290	0	1180	498	118	10	41	7760	0	0
0	622	0	406	800	206	11	44	5080	0	0
595	0	174	905	250	334	12	20	8000	0	0
688	387	118	865	506	246	13	67	2148	0	0
510	0	334	900	208	624	14	74	2980	0	0
510	208	334	842	288	586	15	6	4660	0	0
490	373	330	800	458	597	16	70	6520	0	0
968	0	124	1098	400	364	17	48	3200	0	0
1098	0	124	1182	384	322	18	40	6040	0	0
406	582	0	700	800	270	19	13	8000	0	0
700	582	0	948	800	164	20	37	6460	0	0
700	506	164	920	800	432	21	14	7540	0	0
948	498	0	1200	800	248	22	96	13200	0	0
304	612	270	696	800	530	23	16	2980	0	0
0	614	206	154	800	304	24	32	1360	0	0
900	0	364	1088	392	624	25	17	2980	0	0
1098	0	322	1182	384	520	26	39	6040	0	0
710	458	432	916	800	692	27	49	2540	0	0
920	422	248	1098	800	490	28	64	12120	0	0
916	395	490	1094	800	645	29	66	2600	0	0
1098	398	248	1200	800	550	30	47	7560	0	0
230	0	364	510	280	544	31	22	8000	0	0
230	308	364	490	612	538	32	52	7180	0	0
509	0	624	633	368	750	33	77	500	0	0
385	0	544	509	368	670	34	77	500	0	0
230	0	544	385	456	699	35	46	980	0	0
230	467	538	686	622	693	36	46	980	0	0
0	0	390	230	520	670	37	87	10600	0	0
0	638	304	250	800	410	38	90	1700	0	0
304	622	530	710	800	736	39	43	5080	0	0
0	645	410	304	800	580	40	65	880	0	0
0	645	580	304	800	750	41	65	880	0	0
